feature,brugada_mean,normal_mean,effect_size,abs_effect,p_value
st_V1_high_takeoff_gt_2mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V3_covedness_score_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_slope_j0_j40_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_j20_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V3_saddleback_score_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_j40_j0_ratio_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_j60_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_j80_j0_ratio_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V2_t_peak_value_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_slope_j20_j80_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V1_t_amplitude_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_convexity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_s_amplitude_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_j40_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_slope_j0_j40_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_area_above_baseline_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V2_t_inversion_indicator_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_slope_j20_j80_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_s_amplitude_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_high_takeoff_gt_2mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_j_point_confidence_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_slope_j20_j80_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V3_second_hump_present_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V2_covedness_score_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V1_high_takeoff_gt_2mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_j60_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V3_high_takeoff_gt_1mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_high_takeoff_gt_1mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_high_takeoff_gt_1mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_convexity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
