feature,mean_FP,mean_TN,std_FP,std_TN,mean_difference,cohen_d,abs_cohen_d
morph_V2_saddleback_score_mean,0.007296730699855659,0.01841094648079774,0.011327545670639266,0.05387505836460939,-0.01111421578094208,-0.2087788096580167,0.2087788096580167
sq_V5_range,1.7232499999999997,1.8851046931407942,0.4791747463086926,0.7888204646821987,-0.16185469314079448,-0.20680594352739634,0.20680594352739634
morph_V1_t_amplitude_median,0.03615624999999999,0.040443140794223814,0.022165548119491625,0.020737533070764307,-0.004286890794223827,-0.2063580793946559,0.2063580793946559
cl_v2v3_st_diff,0.056968749999999985,0.03709025270758122,0.06441690838543478,0.09707024594937728,0.019878497292418765,0.20621688026959373,0.20621688026959373
morph_V3_t_peak_value_min,-0.07937499999999999,-0.06540433212996388,0.060680387070288215,0.06828438396255769,-0.013970667870036105,-0.2051296082939711,0.2051296082939711
morph_V2_t_amplitude_std,0.00840236495002525,0.01771655297717856,0.005211203220239963,0.04597892077698483,-0.00931418802715331,-0.20509457358135488,0.20509457358135488
st_V1_st_j40_j0_ratio_min,0.5254279123511421,0.31314982802395364,0.13181603615113605,1.0631391473915013,0.21227808432718842,0.2021478276398996,0.2021478276398996
st_V2_st_monotonicity_max,0.5113636363636364,0.5713816869051526,0.3047065381316346,0.29689793168436324,-0.06001805054151621,-0.20201734421268372,0.20201734421268372
morph_V3_t_amplitude_median,0.06506249999999995,0.057510830324909716,0.050098301805051274,0.03714364216743137,0.007551669675090238,0.20128088183572412,0.20128088183572412
st_V2_st_convexity_std,0.0009880002251026,0.0014553553087843854,0.0008277662965259608,0.002352073316247274,-0.0004673550836817855,-0.20088788566503687,0.20088788566503687
morph_V1_t_peak_value_min,0.018375,-0.00816425992779784,0.03008815173785189,0.13369306239305584,0.02653925992779784,0.2008814565121688,0.2008814565121688
st_V2_st_slope_j0_j40_mean,-0.00022373579545453934,-0.0006233091564007867,0.00152348443587495,0.002024863291180897,0.00039957336094624736,0.19840107044982297,0.19840107044982297
st_V1_j_point_amplitude_max,0.16631249999999997,0.19179241877256314,0.11472492577356501,0.12880559770556063,-0.02547991877256317,-0.19832445876329013,0.19832445876329013
st_V2_st_j40_std,0.015552913226669175,0.027723742301647456,0.0066636320347625445,0.0627369004104624,-0.012170829074978282,-0.19641455090194382,0.19641455090194382
