feature,mean_FN,mean_TP,std_FN,std_TP,mean_difference,cohen_d,abs_cohen_d
sq_V4_mean,0.06730531609195398,0.06366796099290778,0.03586914876616774,0.04097312135108627,0.0036373550990461967,0.09297875786837582,0.09297875786837582
st_V3_j_point_amplitude_max,0.11653448275862066,0.10669148936170213,0.11192677186095923,0.10246569499580477,0.009842993396918534,0.09273176725505144,0.09273176725505144
st_V3_st_area_above_baseline_mean,1.55889636148447,1.6713737295015565,1.2103667024636433,1.2165866833088603,-0.11247736801708652,-0.0926321426886978,0.0926321426886978
st_V1_st_curvature_sign_std,0.6072148975662516,0.643174134301951,0.39729405205464774,0.38872025819089134,-0.03595923673569945,-0.09173591738760956,0.09173591738760956
cl_mean_st_j40_v1v3,0.10621264367816088,0.11394326241134747,0.08722789268114495,0.08274372107048797,-0.007730618733186589,-0.0915207997788964,0.0915207997788964
st_V3_st_area_above_baseline_median,1.5455732758620688,1.6573590425531917,1.2055184138085615,1.231800182620921,-0.11178576669112283,-0.09148353773492478,0.09148353773492478
st_V2_st_monotonicity_mean,0.40007023423029325,0.3757312546673949,0.2875675547063882,0.25343273849964726,0.024338979562898377,0.0912041620092796,0.0912041620092796
st_V1_st_j40_median,0.07871551724137929,0.08430319148936169,0.06581451614254478,0.058622778417513316,-0.005587674247982399,-0.09094070103086281,0.09094070103086281
st_V2_st_j80_j0_ratio_min,0.6751287547915369,0.7633701329047083,1.1012525254671999,0.8838023454064693,-0.08824137811317145,-0.09080013986599102,0.09080013986599102
sq_V3_max,1.0076206896551723,1.0531489361702127,0.5144590338432912,0.4981595052908598,-0.045528246515040394,-0.09026418231047097,0.09026418231047097
morph_V3_t_mean_mean,-0.015100900992349427,-0.012262315050642921,0.024867083525572063,0.03487222087377453,-0.0028385859417065055,-0.09022005416668419,0.09022005416668419
st_V2_st_slope_j20_j80_median,0.00018103448275859658,0.00031861702127658796,0.0017882946034837707,0.001348466001728984,-0.00013758253851799137,-0.08993311370723958,0.08993311370723958
morph_V1_saddleback_score_median,0.02086206896551721,0.023619680851063796,0.02689180532096218,0.03280734901820984,-0.0027576118855465875,-0.08981464286087222,0.08981464286087222
st_V2_st_j40_median,0.1396293103448276,0.1509946808510638,0.1330608756956893,0.12478028018389158,-0.011365370506236205,-0.0888082583537816,0.0888082583537816
st_V3_st_j60_min,0.08248275862068966,0.09228723404255319,0.10780725798919398,0.11459125995601463,-0.009804475421863537,-0.08748321620048265,0.08748321620048265
