feature,mean_abs_shap,mean_shap,std_shap,shap_rank
st_V2_j_point_confidence_n_valid,0.01806611232541644,-0.004061435931785546,0.03269452338346512,138
sq_V4_baseline_drift,0.01789264263061818,-0.0013133584404205075,0.027854488027843755,139
morph_V3_trough_depth_between_humps_std,0.017728837466293283,-0.0034211955361129888,0.05390591219644924,140
st_V2_st_area_above_baseline_max,0.01761378349356618,0.0014250766382791185,0.030847898878157972,141
st_V2_st_slope_j0_j40_max,0.0175799068189726,0.004758996732902407,0.03404374979528978,142
st_V1_st_slope_j0_j40_max,0.01743092290644682,-0.0042925993633102155,0.05392727340470959,143
sq_III_noise_energy,0.017423533816968095,0.0004796331515407369,0.036152553832543184,144
morph_V2_high_takeoff_gt_2mm_min,0.017148342641640033,0.0005187395856441256,0.03361670955557119,145
st_V3_st_j20_std,0.01712702254207993,-0.00033540978555673186,0.028814605330691707,146
sq_aVL_max,0.01708098608906796,0.004258607598906785,0.04126481915755256,147
sq_V3_noise_energy,0.017068483904927705,-0.0014413087113090666,0.03870963512133474,148
st_V3_st_j80_min,0.017023197732424496,0.0007532551230416224,0.029152789252655253,149
st_V3_st_j80_median,0.016984667926770156,0.0016913661785095296,0.03232318763538632,150
morph_V3_second_hump_present_mean,0.01695894618970197,0.0013304471328967197,0.04064208319560426,151
sq_V2_min,0.01660792942461621,-0.0025863345445854722,0.045748360185847804,152
morph_V1_covedness_score_n_valid,0.016483527484398644,-0.0009941838706841002,0.0387950264967386,153
sq_I_noise_energy,0.016405951149650044,0.0018968263925463525,0.030565686561994945,154
st_V1_j_point_confidence_n_valid,0.016350360180382134,-0.002475968216887115,0.028747900863689044,155
st_V3_st_monotonicity_max,0.016293932811380144,0.0021604684553014207,0.028822908946682928,156
st_V1_r_amplitude_n_valid,0.016284953410244607,-0.0033689883661125355,0.04208821726524068,157
st_V2_j_point_amplitude_min,0.015679617206830268,0.00011305264328137209,0.02742873914525461,158
st_V1_st_slope_j20_j80_std,0.015489791129040954,0.0016735270624523599,0.03119391843211973,159
morph_V1_second_hump_present_min,0.015456914704167282,4.29583269687137e-05,0.027925848632122875,160
st_V3_st_j40_max,0.015368172077964933,-0.001823223905083692,0.051165972970251127,161
st_V3_st_j20_max,0.015330401400345329,0.0018591562568751453,0.0431321982116621,162
morph_V2_t_inversion_indicator_max,0.015305796795224444,0.0010050928699668778,0.03364140219376889,163
morph_V1_trough_depth_between_humps_min,0.015077065370833231,-0.0012581844701747397,0.033628553972151136,164
morph_V2_t_mean_n_valid,0.014917002517355376,-1.1354570684998642e-05,0.026450735167192346,165
sq_III_min,0.014873416379206987,-0.0006378580391222258,0.025197608082353287,166
st_V2_st_slope_j0_j40_mean,0.01480169406920135,0.002684716570137213,0.0281648010144748,167
st_V2_j_point_confidence_max,0.014731449032017608,0.003400489258202753,0.027147236949413258,168
st_V1_high_takeoff_gt_1mm_mean,0.014477881496007592,0.0016520805368533424,0.02535802609520439,169
morph_V1_high_takeoff_gt_2mm_min,0.01442865471240161,-0.00021465355771549724,0.023284764243501836,170
st_V2_st_curvature_sign_std,0.014308312297521256,-0.0011241370845491735,0.037206353562099066,171
morph_V1_trough_depth_between_humps_std,0.014262480632230082,0.0004965235573078073,0.02434598795666427,172
st_V1_r_amplitude_min,0.01390660519253708,0.0037786424470572844,0.0420822219108678,173
morph_V3_high_takeoff_gt_1mm_median,0.013656612353055594,0.0009723482529322286,0.03627455514412542,174
sq_II_mean,0.013381335024744985,-0.0013945129880112096,0.02445518533951103,175
sq_V1_std,0.013361848558224811,0.0016370258660417586,0.028380037429424396,176
sq_II_min,0.013316835765790987,0.0012943415562352786,0.02643334208394488,177
sq_III_max,0.013295391221112514,-0.0006715654634637209,0.03523565711977721,178
st_V2_st_j80_j0_ratio_std,0.01324104518411531,0.0011617223092306081,0.03368485926208803,179
morph_V3_t_polarity_n_valid,0.013122014214102534,0.0026631917736233777,0.02779875589387302,180
morph_V1_high_takeoff_gt_2mm_n_valid,0.013069158649795538,-0.00013656216255355876,0.024151373868345438,181
sq_II_snr_proxy,0.013013257792414483,-0.00019957446861374877,0.0278778128005854,182
st_V3_st_monotonicity_min,0.012966227681984086,-0.0008083548213126914,0.02960018893935333,183
st_V1_st_convexity_mean,0.012571958559090593,-0.0011711256150618036,0.023200579661005943,184
sq_aVL_range,0.012450292064133532,0.0015898588048832989,0.03305031185788536,185
sq_V5_max,0.01240058748790423,-0.0004637865128493412,0.03011970169188714,186
st_V2_st_j20_min,0.012340439498147424,-0.0005379789730549228,0.02987274098723856,187
st_V2_s_amplitude_min,0.011810815543213376,-0.0011622190134235163,0.029416862140873544,188
sq_V3_range,0.01176914062489531,0.0008828089792106924,0.030254057379118657,189
sq_V6_min,0.011760524245846176,-0.0016494008370216068,0.023584566053844527,190
st_V1_st_monotonicity_n_valid,0.011548946491152675,-0.0013873268969192855,0.017954691607789477,191
morph_V2_high_takeoff_gt_1mm_median,0.011529852271326309,-0.0013929572340213902,0.031197108621310626,192
st_V1_st_monotonicity_min,0.011397675856562725,0.0001444411789180613,0.029052453301273727,193
st_V1_j_point_confidence_median,0.011275087826816004,0.0023012942218378187,0.029300393760433564,194
sq_V1_range,0.011244433773040097,0.0008618706592022619,0.026227076102211283,195
st_V1_rs_ratio_max,0.011242031084050304,0.0005288115618929925,0.021000001619888294,196
morph_V3_t_peak_value_max,0.011228107681341385,-0.001069649298670255,0.027455485550083283,197
rr_cv,0.011206059142082544,0.0001413750627331897,0.02127857212558843,198
morph_V1_saddleback_score_median,0.011025766050539237,0.001206767337477559,0.02237776869943214,199
st_V1_st_slope_j0_j40_median,0.010959986285781145,-0.001640114176854205,0.025627225641394826,200
morph_V1_covedness_score_median,0.010901005159570891,-0.0018194567613283167,0.022530302174941307,201
st_V1_high_takeoff_gt_2mm_mean,0.01089335185802763,-0.0018051735878621812,0.024771974518931664,202
sq_V2_std,0.010843849069998138,0.00032197953854780885,0.022579415171503227,203
st_V1_st_j60_std,0.010839757233262866,0.0030757168391026646,0.01895143830380851,204
st_V2_st_slope_j0_j40_min,0.010712225783216059,-0.00024042234686780155,0.026922122399071123,205
