feature,native_importance_mean,native_importance_std
morph_V2_high_takeoff_gt_2mm_median,0.009539257856179206,0.021330429021315617
morph_V2_second_hump_amplitude_median,0.009508061552865526,0.02126067196645953
st_V2_st_j20_mean,0.009182676506180225,0.02053308888320925
sq_I_std,0.008101290816321913,0.018115036970790564
st_V2_st_j40_std,0.007234428667021234,0.01617667427783267
st_V1_st_slope_j20_j80_mean,0.006790252566024639,0.015183466322023472
st_V2_st_curvature_sign_median,0.006246638181957709,0.013967907605703139
st_V2_st_slope_j20_j80_median,0.006059919321077252,0.01355039154009311
st_V1_st_slope_j20_j80_median,0.0058982525780568945,0.013188893712998601
st_V1_st_j60_n_valid,0.005385543268352453,0.012042440843802476
st_V2_st_j40_j0_ratio_mean,0.005239127783470597,0.011715045866648054
