feature_type,shap_V1,shap_V2,shap_V3,dominant_lead,v1v2v3_variance
sq_LEAD_noise_energy,0.0,0.0,0.017068483904927722,V3,6.474069840283927e-05
st_LEAD_high_takeoff_gt_2mm_mean,0.010893351858027648,0.0,0.0,V1,2.637002548950987e-05
morph_LEAD_trough_depth_between_humps_mean,0.0,0.0,0.0,V1,0.0
sq_LEAD_mean,0.007780485351931704,0.0,0.0,V1,1.3452433847027511e-05
morph_LEAD_trough_depth_between_humps_median,0.006766688753145209,0.0,0.009335203774546153,V3,1.5503486178822767e-05
sq_LEAD_rms,0.0034176061115645836,0.0,0.0,V1,2.595562563067465e-06
st_LEAD_rs_ratio_median,0.0,0.0,0.0010248723187927698,V3,2.3341405996170417e-07
st_LEAD_rs_ratio_min,0.0,0.0,0.0042244826249018845,V3,3.965834099577314e-06
st_LEAD_r_amplitude_min,0.013906605192537086,0.0,0.007547685155932364,V1,3.23107870251238e-05
st_LEAD_r_amplitude_median,0.005084621499243805,0.0,0.0,V1,5.745194620127183e-06
st_LEAD_high_takeoff_gt_2mm_max,0.0,0.0,0.0,V1,0.0
st_LEAD_high_takeoff_gt_1mm_median,0.0,0.0,0.0,V1,0.0
st_LEAD_high_takeoff_gt_2mm_median,0.008315569180841286,0.0,0.0,V1,1.5366375733634982e-05
st_LEAD_high_takeoff_gt_2mm_n_valid,0.0017225022835672395,0.0,0.0,V1,6.593364704209678e-07
st_LEAD_j_point_amplitude_mean,0.004618341993417375,0.0,0.019250110090625557,V3,6.733160654664949e-05
st_LEAD_j_point_amplitude_median,0.003012366019107258,0.0,0.0023172206336185947,V1,1.6585652894340058e-06
st_LEAD_st_area_above_baseline_std,0.009752356695734765,0.0,0.07478649991119317,V3,0.0011019520904284993
st_LEAD_st_area_above_baseline_mean,0.0,0.0,0.0018042643482414566,V3,7.234155196300374e-07
st_LEAD_s_amplitude_median,0.001210516248072803,0.0,0.0,V1,3.2563324152183465e-07
st_LEAD_st_j40_j0_ratio_n_valid,0.00775388276925408,0.0,0.0,V1,1.3360599555407846e-05
st_LEAD_st_j40_j0_ratio_min,0.0,0.0,0.00220921464146374,V3,1.0845842960128357e-06
st_LEAD_st_j40_mean,0.0398059037535967,0.0,0.0,V1,0.0003521133274756898
st_LEAD_st_curvature_sign_n_valid,0.09270604260229909,0.0,0.0,V1,0.0019098689633287316
st_LEAD_st_j20_median,0.056599612677131185,0.0,0.0018771629521915736,V1,0.0006890651555387659
st_LEAD_st_curvature_sign_max,0.0003232043093845207,0.0,0.01993741907308278,V3,8.692472901308984e-05
st_LEAD_st_convexity_n_valid,0.0,0.0,0.0,V1,0.0
st_LEAD_st_j40_j0_ratio_median,0.001810063949321748,0.0,0.0023654542134730937,V3,1.0200181646873287e-06
st_LEAD_st_j40_j0_ratio_max,0.0,0.0,0.0,V1,0.0
st_LEAD_st_j40_j0_ratio_std,0.0023182241965506033,0.0,0.0,V1,1.1942585389939312e-06
st_LEAD_st_j80_j0_ratio_n_valid,0.0,0.0,0.0,V1,0.0
st_LEAD_st_j80_j0_ratio_mean,0.0,0.0,0.0,V1,0.0
st_LEAD_st_j60_n_valid,0.0013980932246390782,0.0,0.005198665962197892,V3,4.82501617608577e-06
st_LEAD_st_monotonicity_max,0.0,0.0,0.016293932811380172,V3,5.899827699150474e-05
st_LEAD_st_j80_std,0.0,0.0,0.03400501754440844,V3,0.0002569647151545613
st_LEAD_st_j80_n_valid,0.0,0.0,0.0,V1,0.0
st_LEAD_st_j80_min,0.0,0.0,0.01702319773242452,V3,6.439761356382742e-05
st_LEAD_st_j80_mean,0.03374028755478258,0.0,0.0,V1,0.00025297933428431477
st_LEAD_st_j80_median,0.05444380542238373,0.0,0.016984667926770183,V1,0.0005173104305964796
st_LEAD_st_j80_j0_ratio_min,0.008978004563066175,0.0,0.0,V1,1.7912125763208235e-05
st_LEAD_st_monotonicity_min,0.011397675856562735,0.0,0.012966227681984093,V3,3.338782556237292e-05
st_LEAD_st_slope_j0_j40_median,0.010959986285781154,0.0,0.0,V1,2.6693622085446876e-05
st_LEAD_st_monotonicity_n_valid,0.011548946491152706,0.0,0.0,V1,2.963959223455742e-05
st_LEAD_st_slope_j20_j80_max,0.0019356230145561467,0.0,0.0,V1,8.325858787732056e-07
st_LEAD_st_slope_j0_j40_n_valid,0.0009690268235101516,0.0,0.0,V1,2.0866955215159432e-07
st_LEAD_st_slope_j20_j80_mean,0.0009431843305668555,0.0,0.0,V1,1.9768815142818832e-07
st_LEAD_st_slope_j20_j80_median,0.0009660171778467239,0.0,0.007965900723709526,V3,1.2598570353725746e-05
st_LEAD_st_slope_j20_j80_n_valid,0.0,0.0,0.004028457019570446,V3,3.6063257685614227e-06
st_LEAD_st_slope_j20_j80_std,0.015489791129040979,0.0,0.0,V1,5.331858427140368e-05
