feature,mean_abs_shap_brugada,mean_abs_shap_normal,mean_shap_brugada,mean_shap_normal,class_differential
st_V3_st_j40_std,0.04062957397269965,0.03055074457208971,0.020991480455880878,-0.004762860897032848,0.010078829400609942
morph_V1_high_takeoff_gt_2mm_median,0.0405854601339486,0.03340566847694043,0.020551421527113554,-0.00230220963198445,0.007179791657008168
morph_V2_t_amplitude_std,0.04039824388161494,0.04427158277741391,0.017133727166066405,-0.01046994536556954,-0.0038733388957989667
sq_aVF_mean,0.039943053571225455,0.031522709625158164,-0.0026374956859447386,0.0037069718015399506,0.00842034394606729
morph_V3_saddleback_score_max,0.03990173584567134,0.05122176892062466,0.008695891999676308,-0.004180324012770591,-0.011320033074953322
st_V2_j_point_amplitude_max,0.03971684421008253,0.0446163297671652,0.005441469058737536,0.0008015713421708899,-0.004899485557082674
st_V1_st_j40_mean,0.0392521792713332,0.03995253462694864,0.027850841904782042,-0.005095996896019163,-0.0007003553556154396
st_V1_st_j80_j0_ratio_std,0.03873582401925595,0.031215456320031153,0.023765964049992983,0.00062588281793202,0.0075203676992248
sq_V5_noise_energy,0.038331873334123134,0.019996286431969962,0.0194933436573851,-0.0068491432673333215,0.018335586902153173
st_V3_st_j20_n_valid,0.03792359862200859,0.033384700387421064,0.010438651635961018,-0.001736913640522594,0.0045388982345875295
morph_V2_t_peak_value_std,0.03769278544373502,0.030400000655510868,0.01836266840114199,-0.00976027627232992,0.007292784788224153
morph_V1_second_hump_present_mean,0.03752913400953585,0.028153955802055323,-0.0012650280629015133,0.0022983119830826586,0.009375178207480527
sq_V4_mean,0.03627929069356084,0.04056597115256974,-0.0055104127987961925,0.002344697366901811,-0.004286680459008901
st_V2_st_curvature_sign_min,0.03599560694732257,0.026308914203040958,0.024245035459262935,-0.0018578824602742295,0.009686692744281609
st_V3_st_j80_std,0.03553385490597543,0.033600168626362795,0.004572511079237102,-0.005093393996439051,0.0019336862796126356
st_V3_rs_ratio_n_valid,0.035249061296038345,0.04191194598407249,0.012374484803876812,-0.002022838583589265,-0.006662884688034144
