feature,perm_importance_mean,perm_importance_std_within,perm_importance_fold_std,perm_importance_min,perm_importance_max,perm_stable
st_V1_high_takeoff_gt_1mm_median,0.00017787524366469872,0.00025295442954133653,0.0003397790686869279,0.0,0.0007797270955164729,False
rr_cv,0.00017678295355248117,0.0004383154245755915,0.00031543512922337845,0.0,0.0007279693486590225,False
morph_V1_high_takeoff_gt_1mm_max,0.00017448074208513092,0.00039523493362044685,0.00032116457231492476,-3.831417624513186e-05,0.0007279693486590262,False
st_V3_st_j20_n_valid,0.00017377495462795662,0.0011707776010523767,0.001753658127959977,-0.002375730994152107,0.002298850574712689,False
st_V3_r_amplitude_min,0.00016871681118507822,0.0005023528513778206,0.00024613760705579897,0.0,0.0005747126436782397,False
st_V1_st_j60_min,0.00016858237547893838,0.00014458208631505334,0.0003769616513792999,0.0,0.000842911877394692,False
sq_V4_min,0.0001676413255360587,0.000525150830811833,0.00015570156372488232,0.0,0.0003118908382066558,False
sq_aVR_rms,0.00016374269005847486,0.0002749485130735931,0.00023456700127080855,0.0,0.0005068226120857333,False
sq_aVR_max,0.00016303690260135155,0.0004391610568284723,0.00045786011243305656,-0.00021929824561404133,0.0009578544061303133,False
st_V2_st_j80_max,0.00016254957316667187,0.0005157538092462878,0.0003804525454572237,-0.00034482758620684915,0.0006944444444444642,False
st_V1_high_takeoff_gt_1mm_max,0.00016091954022990387,0.00038985118285538234,0.0003187223654112855,0.0,0.0007279693486590447,False
sq_V1_noise_energy,0.00015965920548498326,0.00028562061548319587,0.00015637860529298692,0.0,0.0003508771929824683,False
morph_V2_second_hump_amplitude_max,0.00015594541910329457,0.00011027006334291777,0.000348704557894661,0.0,0.0007797270955164729,False
sq_aVF_max,0.00015527324057271752,0.000314890446670148,0.00025403546728413354,0.0,0.000584795321637488,False
st_V2_st_j60_std,0.00015492034684413624,0.0004166116258408809,0.0005073006132292122,-0.0005363984674329081,0.0006896551724138056,False
st_V1_st_area_above_baseline_std,0.00015448343079920525,0.0004562711009802353,0.0004702779545022606,-0.00047514619883042285,0.0006237816764132893,False
sq_V5_max,0.00015392888351148864,0.0005961408809914542,0.0005008099963195231,-0.0005847953216374435,0.0007797270955165988,False
sq_II_mean,0.00015325670498084125,0.00037232913105613065,0.00034269241034481023,-3.3306690738754695e-17,0.0007662835249042395,False
sq_I_snr_proxy,0.00015219802379512926,0.00023201195506635102,0.0002830401169386475,0.0,0.0006513409961686256,False
st_V2_st_convexity_median,0.0001495597230624446,0.001165670177767714,0.0003732275452646557,-0.0001461988304093868,0.0007797270955166469,False
morph_V1_t_polarity_max,0.00014895476238488008,0.0004487045870108239,0.0005946407150251647,-0.0004980842911876874,0.0010916179337230696,False
st_V2_j_point_confidence_max,0.0001488875445318275,0.0007536603252024773,0.0009373698315357998,-0.0010233918128655262,0.0015708812260536663,False
st_V1_j_point_confidence_n_valid,0.0001484170195604199,0.0007453757287910711,0.0007149203131687073,-0.0006130268199233051,0.0011695906432748204,False
sq_V1_mean,0.000148282583854266,0.00020482256609316725,0.0003533778771412837,-3.831417624520957e-05,0.0007797270955165396,False
sq_V1_baseline_drift,0.0001461316125563113,0.00025077651734438654,0.00020706677566138254,0.0,0.0004980842911877726,False
st_V3_st_slope_j20_j80_std,0.00014571150097464865,0.0002736781767913768,0.0005774401410134813,-0.0004020467836257424,0.0011306042884989857,False
morph_V3_t_polarity_max,0.00013806547018889133,0.00028889109397169126,0.0003095568600858406,-3.831417624520587e-05,0.0006896551724138389,False
st_V3_st_area_above_baseline_mean,0.00013793103448277147,0.00014046209026684895,0.0003084231693103446,0.0,0.0006896551724138573,False
st_V1_r_amplitude_max,0.00013791423001950168,0.0002378678599534721,0.00022088713976682243,0.0,0.0005068226120857444,False
morph_V3_high_takeoff_gt_2mm_max,0.00013762855414398628,0.000572845865334422,0.00020760708910154145,0.0,0.0004980842911878132,False
sq_II_min,0.00013722524702562965,0.0006135301811907069,0.00029021662245138334,-3.831417624516516e-05,0.0006513409961686515,False
morph_V3_covedness_score_mean,0.0001367211131276469,0.0004039981687341014,0.0004712795110044207,-0.000350877192982509,0.0009195402298851037,False
st_V1_st_j20_n_valid,0.00012435302816426723,0.00037278750512754035,0.0002621875419622967,-0.00015325670498083827,0.0005068226120856704,False
st_V2_high_takeoff_gt_1mm_min,0.00012421859245815626,0.0003760525800561261,0.00020322837382728034,0.0,0.0004678362573099319,False
morph_V1_saddleback_score_n_valid,0.00012329434697855673,0.00028421187921202505,0.00021959315236901237,0.0,0.0005068226120857629,False
sq_V1_max,0.0001232775425153106,0.0003695085526553174,0.0001742107287047786,0.0,0.0004214559386973645,False
st_V2_st_j60_max,0.00011907642669893932,0.0008214089553892322,0.001027336210155604,-0.0008812260536397535,0.001793372319688032,False
morph_V2_covedness_score_n_valid,0.00011801774551322436,0.00029590627497126133,0.0002057515211942768,0.0,0.00047514619883042285,False
st_V1_rs_ratio_max,0.00011695906432747907,0.0002447380828662951,0.000355182595678112,-0.0001559454191032909,0.0007407407407406863,False
st_V1_s_amplitude_n_valid,0.00011695906432747834,0.00019395466610265335,0.00026152841842101227,0.0,0.0005847953216373917,False
